gender,marital_status,product_family,product_department,product_category,month_of_year,quarter,the_year,store_sales,store_cost,unit_sales,customer_count,fact_count
M,S,Food,Dairy,Dairy,1,Q1,1997,746.9400,299.3589,312.0000,84,98
F,M,Food,Snack Foods,Snack Foods,1,Q1,1997,1560.4900,628.8376,666.0000,155,216
F,M,Drink,Beverages,Carbonated Beverages,1,Q1,1997,145.0100,58.1531,76.0000,21,22
F,M,Non-Consumable,Health and Hygiene,Decongestants,1,Q1,1997,75.5000,30.1071,40.0000,13,13
F,M,Food,Baked Goods,Bread,1,Q1,1997,344.7000,140.6266,176.0000,51,54
M,M,Drink,Beverages,Pure Juice Beverages,1,Q1,1997,171.9500,67.7858,88.0000,28,29
M,M,Food,Canned Foods,Vegetables,1,Q1,1997,212.5900,81.2946,111.0000,36,37
M,M,Food,Baking Goods,Baking Goods,1,Q1,1997,309.7000,124.3206,167.0000,51,58
M,S,Food,Frozen Foods,Vegetables,1,Q1,1997,360.3000,148.0077,160.0000,51,54
M,S,Drink,Beverages,Carbonated Beverages,1,Q1,1997,111.6700,44.8227,50.0000,19,19
M,M,Food,Snacks,Candy,1,Q1,1997,229.3200,94.7556,111.0000,31,35
M,M,Drink,Beverages,Hot Beverages,1,Q1,1997,227.5800,93.5708,99.0000,27,32
F,S,Non-Consumable,Household,Electrical,1,Q1,1997,258.8600,101.8613,106.0000,32,34
F,S,Food,Produce,Fruit,1,Q1,1997,470.6600,198.2619,221.0000,66,75
F,S,Non-Consumable,Health and Hygiene,Bathroom Products,1,Q1,1997,151.1000,57.4007,82.0000,27,29
F,M,Food,Produce,Fruit,1,Q1,1997,557.3400,217.8634,249.0000,74,85
F,M,Food,Starchy Foods,Starchy Foods,1,Q1,1997,371.5200,141.7887,157.0000,45,47
F,M,Food,Frozen Foods,Frozen Desserts,1,Q1,1997,325.8500,134.1001,153.0000,46,49
F,M,Food,Dairy,Dairy,1,Q1,1997,884.0400,346.5602,354.0000,92,115
F,M,Drink,Beverages,Hot Beverages,1,Q1,1997,211.7300,81.7220,95.0000,30,31
M,S,Food,Baked Goods,Bread,1,Q1,1997,306.7700,123.1830,153.0000,46,52
M,S,Non-Consumable,Household,Electrical,1,Q1,1997,393.5900,158.5517,161.0000,46,51
M,S,Food,Canned Foods,Vegetables,1,Q1,1997,141.1500,56.9385,71.0000,23,24
M,S,Food,Canned Foods,Canned Tuna,1,Q1,1997,97.3600,39.4287,50.0000,14,16
F,S,Drink,Beverages,Pure Juice Beverages,1,Q1,1997,106.9400,44.6559,53.0000,16,16
F,S,Food,Baked Goods,Bread,2,Q1,1997,342.5300,134.5262,149.0000,50,51
F,S,Food,Canned Foods,Vegetables,2,Q1,1997,184.5500,75.5411,88.0000,27,28
F,S,Non-Consumable,Household,Kitchen Products,2,Q1,1997,163.8000,65.8361,77.0000,28,28
F,S,Food,Frozen Foods,Breakfast Foods,2,Q1,1997,119.0100,46.9298,72.0000,25,25
F,S,Food,Deli,Meat,2,Q1,1997,399.3100,161.0932,178.0000,52,61
F,S,Non-Consumable,Health and Hygiene,Bathroom Products,2,Q1,1997,238.4500,93.3007,120.0000,34,39
M,M,Food,Eggs,Eggs,2,Q1,1997,185.8200,75.6035,83.0000,26,28
M,M,Drink,Beverages,Carbonated Beverages,2,Q1,1997,134.1300,53.1634,68.0000,20,21
M,M,Non-Consumable,Household,Plastic Products,2,Q1,1997,122.4900,48.1235,46.0000,16,16
M,M,Non-Consumable,Household,Paper Products,2,Q1,1997,245.3900,103.9482,120.0000,39,41
M,M,Food,Produce,Vegetables,2,Q1,1997,979.3200,389.4566,454.0000,118,141
M,M,Food,Meat,Meat,2,Q1,1997,33.0200,12.7647,21.0000,7,7
M,M,Food,Baking Goods,Jams and Jellies,2,Q1,1997,505.3900,205.7229,231.0000,67,82
M,M,Food,Snacks,Candy,2,Q1,1997,267.5100,108.1643,129.0000,39,41
M,M,Non-Consumable,Checkout,Miscellaneous,2,Q1,1997,44.1400,16.8310,25.0000,8,8
F,S,Non-Consumable,Household,Candles,2,Q1,1997,15.1700,5.4959,7.0000,3,3
F,S,Food,Baking Goods,Baking Goods,2,Q1,1997,195.6800,77.3519,117.0000,36,39
F,S,Food,Produce,Vegetables,2,Q1,1997,1013.1600,416.8864,425.0000,101,134
M,S,Non-Consumable,Household,Hardware,2,Q1,1997,54.9100,20.8618,24.0000,10,10
M,S,Food,Baked Goods,Bread,2,Q1,1997,324.4200,131.4976,154.0000,50,52
M,S,Non-Consumable,Checkout,Miscellaneous,2,Q1,1997,42.8400,18.0924,21.0000,8,8
F,M,Food,Produce,Fruit,2,Q1,1997,586.8000,233.6364,271.0000,70,86
F,M,Food,Produce,Vegetables,2,Q1,1997,885.3700,359.1758,412.0000,104,135
M,M,Non-Consumable,Health and Hygiene,Bathroom Products,2,Q1,1997,161.7400,65.8061,97.0000,31,32
M,S,Food,Frozen Foods,Frozen Desserts,2,Q1,1997,387.7100,156.3535,161.0000,51,53
M,S,Food,Snack Foods,Snack Foods,2,Q1,1997,1379.2800,550.7976,623.0000,148,207
M,S,Food,Baking Goods,Jams and Jellies,2,Q1,1997,416.0200,167.3029,237.0000,72,80
M,S,Drink,Dairy,Dairy,2,Q1,1997,192.4800,79.7710,130.0000,40,44
F,S,Food,Produce,Fruit,2,Q1,1997,609.1900,244.7503,267.0000,76,87
M,M,Food,Canned Foods,Vegetables,2,Q1,1997,226.7100,89.8500,106.0000,32,34
M,M,Food,Deli,Meat,2,Q1,1997,375.7700,154.0538,192.0000,61,63
M,M,Food,Produce,Fruit,2,Q1,1997,461.9100,183.6897,227.0000,70,81
M,M,Food,Snack Foods,Snack Foods,2,Q1,1997,1282.1800,513.9103,593.0000,151,197
F,M,Non-Consumable,Household,Cleaning Supplies,2,Q1,1997,164.5500,66.8687,79.0000,26,27
F,M,Non-Consumable,Household,Bathroom Products,2,Q1,1997,37.9600,13.2675,24.0000,7,8
F,M,Food,Frozen Foods,Meat,2,Q1,1997,70.6400,26.5561,33.0000,12,12
F,M,Food,Snacks,Candy,2,Q1,1997,356.0000,141.7074,160.0000,41,48
F,M,Non-Consumable,Health and Hygiene,Decongestants,2,Q1,1997,68.8800,29.6866,34.0000,10,11
F,M,Food,Breakfast Foods,Breakfast Foods,2,Q1,1997,142.1700,54.3143,65.0000,17,19
F,M,Food,Snack Foods,Snack Foods,2,Q1,1997,1533.6200,608.2916,705.0000,155,228
F,M,Drink,Dairy,Dairy,2,Q1,1997,100.8700,39.2441,76.0000,25,25
F,M,Drink,Beverages,Carbonated Beverages,2,Q1,1997,224.0500,85.7523,102.0000,32,33
F,M,Food,Deli,Meat,2,Q1,1997,365.8300,141.4372,167.0000,54,59
F,M,Non-Consumable,Household,Electrical,2,Q1,1997,270.5900,108.0708,107.0000,41,41
F,M,Food,Frozen Foods,Frozen Desserts,2,Q1,1997,190.7700,75.7098,106.0000,33,37
F,M,Food,Canned Foods,Canned Soup,2,Q1,1997,299.4500,116.0146,162.0000,48,52
F,M,Food,Dairy,Dairy,2,Q1,1997,556.2500,223.5410,236.0000,71,80
M,M,Non-Consumable,Household,Candles,2,Q1,1997,22.3100,8.1138,21.0000,6,6
M,M,Food,Starchy Foods,Starchy Foods,2,Q1,1997,228.4200,95.1580,99.0000,33,33
M,M,Food,Frozen Foods,Vegetables,2,Q1,1997,304.1000,124.1838,140.0000,40,46
M,M,Food,Baked Goods,Bread,2,Q1,1997,333.6300,137.9107,163.0000,45,49
F,M,Food,Frozen Foods,Frozen Entrees,2,Q1,1997,183.7200,75.4936,69.0000,22,23
F,M,Non-Consumable,Household,Paper Products,2,Q1,1997,293.7700,118.0747,126.0000,41,42
F,S,Food,Baking Goods,Jams and Jellies,2,Q1,1997,453.9500,179.1313,233.0000,67,75
F,S,Food,Frozen Foods,Vegetables,2,Q1,1997,375.6400,150.9054,162.0000,46,53
F,M,Food,Produce,Specialty,2,Q1,1997,234.8300,91.4520,118.0000,34,36
F,M,Food,Baking Goods,Baking Goods,2,Q1,1997,306.2200,117.0879,171.0000,49,55
F,M,Non-Consumable,Household,Plastic Products,2,Q1,1997,97.0800,36.5708,43.0000,15,15
F,M,Food,Baked Goods,Bread,2,Q1,1997,289.8100,115.4363,141.0000,41,46
M,S,Food,Starchy Foods,Starchy Foods,2,Q1,1997,240.1300,96.7812,110.0000,35,37
M,S,Food,Deli,Side Dishes,2,Q1,1997,141.4400,54.3674,74.0000,22,23
M,S,Non-Consumable,Household,Cleaning Supplies,2,Q1,1997,103.7900,41.9901,60.0000,19,20
M,S,Food,Baking Goods,Baking Goods,2,Q1,1997,368.4800,143.3948,187.0000,53,62
F,M,Non-Consumable,Health and Hygiene,Hygiene,2,Q1,1997,142.2600,54.9681,72.0000,25,25
F,M,Non-Consumable,Health and Hygiene,Bathroom Products,2,Q1,1997,170.0700,68.7444,77.0000,25,27
F,M,Food,Canned Foods,Vegetables,3,Q1,1997,198.4300,80.3348,98.0000,31,33
F,M,Food,Deli,Meat,3,Q1,1997,423.3500,171.3711,195.0000,58,64
F,M,Food,Frozen Foods,Meat,3,Q1,1997,160.6100,60.1419,78.0000,25,26
F,M,Food,Baking Goods,Jams and Jellies,3,Q1,1997,366.0600,141.8731,197.0000,59,66
M,S,Food,Canned Foods,Canned Soup,3,Q1,1997,366.0800,146.5151,201.0000,61,64
M,S,Food,Canned Foods,Canned Oysters,3,Q1,1997,43.3200,14.8720,20.0000,6,6
M,S,Non-Consumable,Health and Hygiene,Bathroom Products,3,Q1,1997,303.6400,122.3800,151.0000,44,49
M,S,Food,Produce,Vegetables,3,Q1,1997,949.7700,374.6976,433.0000,110,140
F,S,Food,Frozen Foods,Breakfast Foods,3,Q1,1997,202.6500,78.7773,132.0000,39,41
F,S,Food,Baked Goods,Bread,3,Q1,1997,263.5300,106.0442,142.0000,44,48
F,S,Drink,Beverages,Pure Juice Beverages,3,Q1,1997,111.1700,43.4953,70.0000,22,22
F,S,Food,Deli,Side Dishes,3,Q1,1997,111.5500,47.0668,64.0000,19,20
M,S,Food,Snack Foods,Snack Foods,3,Q1,1997,1513.6400,602.8305,708.0000,169,228
M,M,Food,Produce,Packaged Vegetables,3,Q1,1997,34.3000,15.1258,18.0000,6,6
M,M,Non-Consumable,Checkout,Miscellaneous,3,Q1,1997,43.6800,18.3441,22.0000,7,7
M,M,Food,Frozen Foods,Breakfast Foods,3,Q1,1997,201.8600,83.7768,116.0000,36,39
M,M,Drink,Alcoholic Beverages,Beer and Wine,3,Q1,1997,344.6500,138.4948,171.0000,56,60
M,S,Non-Consumable,Checkout,Miscellaneous,3,Q1,1997,90.0400,36.3886,42.0000,12,13
M,S,Non-Consumable,Health and Hygiene,Pain Relievers,3,Q1,1997,204.4300,78.3206,82.0000,26,27
M,S,Drink,Beverages,Carbonated Beverages,3,Q1,1997,105.5200,42.2754,59.0000,21,21
F,S,Food,Produce,Vegetables,3,Q1,1997,1101.0400,439.2644,505.0000,117,156
F,S,Food,Snack Foods,Snack Foods,3,Q1,1997,1512.3500,606.9919,686.0000,172,232
M,S,Food,Frozen Foods,Frozen Desserts,3,Q1,1997,310.7500,117.3650,150.0000,42,47
M,S,Food,Meat,Meat,3,Q1,1997,90.3500,35.9977,40.0000,13,13
M,S,Food,Deli,Meat,3,Q1,1997,423.6900,172.5702,191.0000,60,64
M,S,Non-Consumable,Household,Electrical,3,Q1,1997,466.4300,187.2626,196.0000,61,66
F,M,Food,Dairy,Dairy,3,Q1,1997,684.8400,275.6194,269.0000,72,86
F,M,Drink,Dairy,Dairy,3,Q1,1997,151.4400,60.5939,83.0000,29,29
F,M,Food,Canned Foods,Canned Soup,3,Q1,1997,347.0900,141.2064,180.0000,53,58
M,S,Food,Produce,Specialty,3,Q1,1997,210.0000,83.4954,110.0000,30,36
M,S,Non-Consumable,Carousel,Specialty,3,Q1,1997,50.0500,19.5148,24.0000,8,8
M,M,Non-Consumable,Household,Paper Products,3,Q1,1997,374.1500,149.3637,174.0000,54,58
M,M,Food,Produce,Fruit,3,Q1,1997,555.5000,223.5044,269.0000,77,85
M,M,Non-Consumable,Household,Kitchen Products,3,Q1,1997,183.9400,77.1300,89.0000,29,30
M,M,Food,Deli,Meat,3,Q1,1997,532.9700,213.7432,222.0000,63,71
F,S,Non-Consumable,Health and Hygiene,Pain Relievers,3,Q1,1997,140.1300,51.8208,65.0000,21,21
F,S,Food,Breakfast Foods,Breakfast Foods,3,Q1,1997,133.1100,55.5462,68.0000,22,23
F,S,Non-Consumable,Household,Electrical,3,Q1,1997,484.4800,191.9164,192.0000,59,65
F,M,Food,Produce,Fruit,3,Q1,1997,431.8800,175.8373,189.0000,54,61
F,M,Food,Baked Goods,Bread,3,Q1,1997,403.6300,154.6290,188.0000,56,62
M,M,Food,Produce,Vegetables,3,Q1,1997,1099.8100,436.0987,528.0000,128,169
M,M,Food,Snack Foods,Snack Foods,3,Q1,1997,1533.7600,615.1857,692.0000,154,224
M,M,Food,Canned Foods,Canned Soup,3,Q1,1997,374.1200,149.2493,168.0000,50,56
M,M,Non-Consumable,Household,Electrical,3,Q1,1997,450.2300,179.8373,197.0000,54,62
M,M,Non-Consumable,Periodicals,Magazines,3,Q1,1997,205.1300,82.0863,92.0000,29,30
F,M,Food,Snack Foods,Snack Foods,3,Q1,1997,1731.4400,672.0610,789.0000,162,244
F,M,Food,Frozen Foods,Frozen Entrees,3,Q1,1997,172.5000,68.1920,74.0000,27,27
F,M,Non-Consumable,Health and Hygiene,Hygiene,3,Q1,1997,179.5500,71.0182,95.0000,26,29
F,S,Non-Consumable,Household,Cleaning Supplies,3,Q1,1997,226.9300,89.6856,113.0000,37,38
F,S,Non-Consumable,Household,Plastic Products,3,Q1,1997,144.0500,61.1399,58.0000,19,20
F,S,Non-Consumable,Household,Candles,3,Q1,1997,52.6300,21.9159,33.0000,10,10
M,M,Food,Frozen Foods,Meat,3,Q1,1997,176.9300,75.2434,66.0000,21,21
M,M,Food,Frozen Foods,Vegetables,3,Q1,1997,438.3400,178.8193,200.0000,56,64
F,M,Food,Breakfast Foods,Breakfast Foods,3,Q1,1997,140.6500,56.3135,70.0000,23,24
F,M,Food,Canned Foods,Canned Anchovies,3,Q1,1997,48.3900,20.4278,20.0000,8,8
F,S,Drink,Alcoholic Beverages,Beer and Wine,3,Q1,1997,230.5700,91.9404,137.0000,46,47
F,S,Drink,Dairy,Dairy,3,Q1,1997,163.9200,68.3842,81.0000,26,27
F,M,Non-Consumable,Health and Hygiene,Bathroom Products,3,Q1,1997,294.2500,112.9101,147.0000,45,48
F,M,Non-Consumable,Household,Bathroom Products,3,Q1,1997,59.4600,23.2629,33.0000,11,11
F,M,Food,Snacks,Candy,3,Q1,1997,425.1800,166.2797,190.0000,60,61
M,S,Food,Dairy,Dairy,3,Q1,1997,594.8600,238.8454,269.0000,82,90
M,S,Drink,Alcoholic Beverages,Beer and Wine,3,Q1,1997,236.4200,91.7147,115.0000,37,41
M,M,Food,Frozen Foods,Frozen Desserts,3,Q1,1997,169.4800,68.4231,83.0000,25,28
M,M,Drink,Dairy,Dairy,3,Q1,1997,189.0900,76.8673,118.0000,38,39
M,S,Food,Baked Goods,Bread,3,Q1,1997,432.0500,177.7117,196.0000,63,66
M,S,Non-Consumable,Household,Paper Products,3,Q1,1997,317.9300,126.8936,139.0000,49,49
M,S,Non-Consumable,Health and Hygiene,Hygiene,3,Q1,1997,169.9500,69.5923,96.0000,28,32
M,S,Food,Frozen Foods,Vegetables,3,Q1,1997,361.3900,136.1937,178.0000,53,58
M,S,Food,Canned Foods,Canned Tuna,3,Q1,1997,52.8300,22.3692,28.0000,10,10
M,S,Non-Consumable,Periodicals,Magazines,3,Q1,1997,201.5000,83.8163,94.0000,29,30
F,S,Food,Baking Goods,Baking Goods,3,Q1,1997,312.2000,123.5276,183.0000,54,58
F,S,Non-Consumable,Health and Hygiene,Bathroom Products,3,Q1,1997,275.3700,109.8633,118.0000,34,39
F,S,Food,Dairy,Dairy,3,Q1,1997,591.4800,234.2733,253.0000,74,84
F,M,Non-Consumable,Household,Paper Products,3,Q1,1997,322.2000,125.1501,135.0000,39,45
F,M,Food,Frozen Foods,Frozen Desserts,3,Q1,1997,313.3500,128.8646,151.0000,41,45
F,M,Drink,Beverages,Hot Beverages,3,Q1,1997,203.3800,79.5284,93.0000,30,31
M,M,Food,Frozen Foods,Meat,4,Q2,1997,132.5900,55.2056,54.0000,19,19
M,M,Drink,Beverages,Pure Juice Beverages,4,Q2,1997,156.7600,58.3741,77.0000,26,26
M,M,Non-Consumable,Household,Paper Products,4,Q2,1997,292.0300,117.6193,117.0000,35,38
F,M,Food,Produce,Vegetables,4,Q2,1997,779.2800,315.8926,368.0000,97,117
F,M,Food,Baking Goods,Jams and Jellies,4,Q2,1997,530.3300,210.1688,270.0000,75,84
F,M,Food,Snack Foods,Snack Foods,4,Q2,1997,1232.7800,477.6158,555.0000,146,181
F,M,Drink,Alcoholic Beverages,Beer and Wine,4,Q2,1997,311.7100,127.2755,144.0000,45,47
F,M,Food,Canned Foods,Vegetables,4,Q2,1997,305.4800,118.3942,121.0000,37,40
F,M,Food,Canned Foods,Canned Soup,4,Q2,1997,289.0600,115.3469,145.0000,46,50
F,M,Drink,Beverages,Pure Juice Beverages,4,Q2,1997,119.2600,47.0610,62.0000,20,20
M,S,Food,Snacks,Candy,4,Q2,1997,282.9400,115.6447,139.0000,42,45
M,S,Non-Consumable,Periodicals,Magazines,4,Q2,1997,180.5100,70.5450,89.0000,30,32
M,S,Food,Snack Foods,Snack Foods,4,Q2,1997,1249.3500,496.3173,560.0000,138,186
M,M,Food,Produce,Packaged Vegetables,4,Q2,1997,21.4200,9.1213,10.0000,4,4
M,M,Non-Consumable,Household,Electrical,4,Q2,1997,313.7800,121.7368,130.0000,39,42
M,M,Food,Baking Goods,Jams and Jellies,4,Q2,1997,466.2700,188.2303,220.0000,62,70
M,S,Food,Dairy,Dairy,4,Q2,1997,606.0600,241.1428,235.0000,70,78
M,S,Drink,Alcoholic Beverages,Beer and Wine,4,Q2,1997,289.7300,115.7969,145.0000,43,46
M,S,Food,Canned Foods,Canned Tuna,4,Q2,1997,40.9000,17.3452,26.0000,9,9
M,S,Food,Produce,Vegetables,4,Q2,1997,895.9100,358.0438,417.0000,110,136
M,S,Food,Canned Foods,Vegetables,4,Q2,1997,171.0600,67.0022,82.0000,29,29
M,S,Drink,Beverages,Carbonated Beverages,4,Q2,1997,156.3300,61.6384,89.0000,27,29
M,M,Food,Baked Goods,Bread,4,Q2,1997,288.4100,112.4620,128.0000,45,46
M,M,Food,Snack Foods,Snack Foods,4,Q2,1997,1114.1400,447.2611,502.0000,138,168
M,M,Food,Deli,Meat,4,Q2,1997,357.9200,140.4743,158.0000,43,52
M,S,Non-Consumable,Household,Cleaning Supplies,4,Q2,1997,128.6600,53.1044,61.0000,19,20
M,S,Food,Baking Goods,Baking Goods,4,Q2,1997,275.0100,105.8500,154.0000,45,48
F,M,Food,Starchy Foods,Starchy Foods,4,Q2,1997,281.9200,107.0178,134.0000,42,43
F,M,Non-Consumable,Periodicals,Magazines,4,Q2,1997,204.3100,82.1901,91.0000,29,31
M,S,Non-Consumable,Checkout,Hardware,4,Q2,1997,15.1100,6.3337,7.0000,3,3
M,S,Non-Consumable,Health and Hygiene,Hygiene,4,Q2,1997,71.4700,26.6490,53.0000,18,18
M,S,Food,Baking Goods,Jams and Jellies,4,Q2,1997,436.9300,180.1100,211.0000,60,68
M,S,Food,Canned Foods,Canned Soup,4,Q2,1997,428.1500,175.4258,192.0000,53,62
M,S,Food,Deli,Side Dishes,4,Q2,1997,86.3800,35.0810,49.0000,14,14
F,M,Food,Frozen Foods,Vegetables,4,Q2,1997,276.3400,106.6527,118.0000,37,38
F,M,Food,Frozen Foods,Frozen Desserts,4,Q2,1997,219.6900,92.3149,95.0000,31,34
F,M,Drink,Beverages,Carbonated Beverages,4,Q2,1997,115.0000,45.9302,67.0000,22,22
F,M,Non-Consumable,Household,Paper Products,4,Q2,1997,288.7500,118.8875,121.0000,38,40
F,S,Non-Consumable,Household,Hardware,4,Q2,1997,47.0200,16.7096,21.0000,7,7
F,S,Food,Produce,Vegetables,4,Q2,1997,882.1100,353.8419,419.0000,108,139
F,M,Food,Dairy,Dairy,4,Q2,1997,732.9500,295.1937,296.0000,86,96
M,M,Non-Consumable,Household,Candles,4,Q2,1997,28.6800,12.2518,21.0000,7,7
F,M,Food,Produce,Packaged Vegetables,4,Q2,1997,45.4800,17.3134,19.0000,6,6
F,M,Food,Produce,Specialty,4,Q2,1997,134.7400,50.7394,72.0000,21,21
F,S,Non-Consumable,Household,Electrical,4,Q2,1997,285.3800,114.3679,132.0000,40,42
F,S,Food,Frozen Foods,Frozen Desserts,4,Q2,1997,238.8600,96.9391,114.0000,36,38
F,S,Non-Consumable,Health and Hygiene,Hygiene,4,Q2,1997,112.5600,42.2878,69.0000,21,23
F,S,Food,Produce,Fruit,4,Q2,1997,439.2300,176.9791,190.0000,53,62
F,S,Non-Consumable,Health and Hygiene,Pain Relievers,4,Q2,1997,209.0200,83.3522,92.0000,30,30
F,M,Food,Meat,Meat,4,Q2,1997,75.8100,30.3090,41.0000,14,14
F,M,Non-Consumable,Health and Hygiene,Bathroom Products,4,Q2,1997,156.8900,64.0756,75.0000,21,23
F,S,Food,Dairy,Dairy,4,Q2,1997,645.2500,259.8680,279.0000,79,91
F,S,Food,Snack Foods,Snack Foods,4,Q2,1997,1211.0900,486.2210,544.0000,128,180
F,S,Food,Frozen Foods,Frozen Entrees,4,Q2,1997,73.7900,29.3556,37.0000,12,12
M,M,Non-Consumable,Health and Hygiene,Pain Relievers,4,Q2,1997,132.2900,48.9464,51.0000,16,17
M,M,Non-Consumable,Household,Kitchen Products,4,Q2,1997,221.3900,90.0693,91.0000,27,28
M,M,Food,Canned Products,Fruit,4,Q2,1997,48.7300,20.2647,29.0000,10,10
M,M,Food,Frozen Foods,Vegetables,4,Q2,1997,250.0300,100.0532,130.0000,42,42
M,M,Food,Dairy,Dairy,4,Q2,1997,528.5400,210.2136,237.0000,70,79
M,M,Non-Consumable,Health and Hygiene,Hygiene,4,Q2,1997,129.3100,50.7990,64.0000,22,22
M,S,Food,Starchy Foods,Starchy Foods,4,Q2,1997,209.2700,80.9908,83.0000,26,26
M,S,Food,Frozen Foods,Vegetables,4,Q2,1997,294.9400,119.6112,143.0000,45,47
M,S,Drink,Dairy,Dairy,4,Q2,1997,186.5700,72.7215,103.0000,30,32
M,S,Food,Produce,Fruit,4,Q2,1997,448.1800,178.5293,240.0000,68,78
M,S,Non-Consumable,Household,Paper Products,4,Q2,1997,427.0000,164.5434,187.0000,58,65
M,S,Non-Consumable,Household,Plastic Products,4,Q2,1997,150.3100,55.2098,57.0000,21,21
F,S,Non-Consumable,Household,Paper Products,4,Q2,1997,225.8100,87.9160,110.0000,34,36
F,M,Drink,Dairy,Dairy,4,Q2,1997,136.7100,52.2879,77.0000,25,25
F,M,Non-Consumable,Health and Hygiene,Pain Relievers,4,Q2,1997,173.1600,70.0631,67.0000,21,21
M,M,Food,Snacks,Candy,4,Q2,1997,254.3400,102.4787,130.0000,41,42
M,M,Drink,Alcoholic Beverages,Beer and Wine,4,Q2,1997,291.4000,112.6506,153.0000,42,49
M,M,Food,Produce,Specialty,4,Q2,1997,106.9900,43.5913,48.0000,17,17
M,M,Food,Produce,Vegetables,4,Q2,1997,856.7100,339.0223,402.0000,107,132
M,M,Food,Frozen Foods,Frozen Desserts,4,Q2,1997,256.8000,102.5191,122.0000,34,38
